"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","8月支払金額","9月繰越残高","新規サイン"
"2024/07/31","ﾏｸﾄﾞﾅﾙﾄﾞ","本人","1回払い","2580","0","2580","2580","0","*"
"2024/07/31","ｲｵﾝｼﾈﾏｶﾅｻﾞﾜ","本人","1回払い","1420","0","1420","1420","0","*"
"2024/07/31","ｲｵﾝｼﾈﾏｶﾅｻﾞﾜ","本人","1回払い","3600","0","3600","3600","0","*"
"2024/07/31","ｲｵﾝ ｶﾅｻﾞﾜ","本人","1回払い","524","0","524","524","0","*"
"2024/07/31","ｲｵﾝｼﾈﾏｶﾅｻﾞﾜ","本人","1回払い","950","0","950","950","0","*"
"2024/07/29","ローソン","本人","1回払い","3686","0","3686","3686","0","*"
"2024/07/28","ローソン","本人","1回払い","3682","0","3682","3682","0","*"
"2024/07/27","ｶｾﾞﾉﾏﾁﾌｸﾐﾂﾊﾞｲﾊﾟｽﾃ","本人","1回払い","3590","0","3590","3590","0","*"
"2024/07/26","ローソン","本人","1回払い","2583","0","2583","2583","0","*"
"2024/07/25","ローソン","本人","1回払い","2306","0","2306","2306","0","*"
"2024/07/25","ﾃｷｻｽﾊﾝｽﾞ ﾅﾝﾄﾃﾝ","本人","1回払い","3530","0","3530","3530","0","*"
"2024/07/22","ローソン","本人","1回払い","4362","0","4362","4362","0","*"
"2024/07/18","ローソン","本人","1回払い","2402","0","2402","2402","0","*"
"2024/07/18","ﾃｷｻｽﾊﾝｽﾞ ﾅﾝﾄﾃﾝ","本人","1回払い","4020","0","4020","4020","0","*"
"2024/07/17","ローソン","本人","1回払い","2870","0","2870","2870","0","*"
"2024/07/14","ﾊﾞﾛ-(V.DRUG)","本人","1回払い","5535","0","5535","5535","0","*"
"2024/07/12","ﾆﾂﾎﾟﾝﾕｳﾋﾞﾝ","本人","1回払い","1710","0","1710","1710","0","*"
"2024/07/01","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","3573","0","3573","3573","0","*"
