"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","9月支払金額","10月繰越残高","新規サイン"
"2025/08/30","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","5786","0","5786","5786","0","*"
"2025/08/27","イデミツ（アポロステーション）","本人","1回払い","3440","0","3440","3440","0","*"
"2025/08/27","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","2991","0","2991","2991","0","*"
"2025/08/25","ﾊﾞﾛ-(V.DRUG)","本人","1回払い","2068","0","2068","2068","0","*"
"2025/08/24","STEAM PURCHASE利用国DE","本人","1回払い","5000","0","5000","5000","0","*"
"","現地利用額　　　　　　５０００．０００変換レート　　　１．０００円","","","","","","","",""
"2025/08/19","JRﾋｶﾞｼﾆﾎﾝ ﾐﾄﾞ ﾘﾉﾏﾄﾞ","本人","1回払い","13300","0","13300","13300","0","*"
"2025/08/02","MOONPIG利用国GB","本人","1回払い","1073","0","1073","1073","0","*"
"","現地利用額　　　　　　　　　５．１９０変換レート　２０６．７４４円","","","","","","","",""
"2025/08/01","羽田空港旅客ターミナル","本人","1回払い","3250","0","3250","3250","0","*"
