"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","3月支払金額","4月繰越残高","新規サイン"
"2024/02/29","AMZN MKTP US*RN8U15C利用国US","本人","1回払い","61583","0","61583","61583","0","*"
"","現地利用額　　　　　６１５８３．０００変換レート　　　１．０００円","","","","","","","",""
"2024/02/23","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","8560","0","8560","8560","0","*"
"2024/02/19","ローソン","本人","1回払い","2758","0","2758","2758","0","*"
"2024/02/14","ローソン","本人","1回払い","2067","0","2067","2067","0","*"
"2024/02/14","ﾃｷｻｽﾊﾝｽﾞ ﾅﾝﾄﾃﾝ","本人","1回払い","5840","0","5840","5840","0","*"
"2024/02/12","MOONPIG利用国GB","本人","1回払い","923","0","923","923","0","*"
"","現地利用額　　　　　　　　　６．０７０変換レート　１５２．０６０円","","","","","","","",""
"2024/02/12","MOONPIG利用国GB","本人","1回払い","923","0","923","923","0","*"
"","現地利用額　　　　　　　　　６．０７０変換レート　１５２．０６０円","","","","","","","",""
"2024/02/12","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","4116","0","4116","4116","0","*"
"2024/02/09","ローソン","本人","1回払い","3320","0","3320","3320","0","*"
"2024/02/04","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","4553","0","4553","4553","0","*"
