"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","11月支払金額","12月繰越残高","新規サイン"
"2024/10/31","ローソン","本人","1回払い","2831","0","2831","2831","0","*"
"2024/10/30","PATREON* MEMBERSHIP利用国IE","本人","1回払い","1573","0","1573","1573","0","*"
"","現地利用額　　　　　　　　１０．０００変換レート　１５７．３００円","","","","","","","",""
"2024/10/29","GUMROAD.COM/C* FXV利用国US","本人","1回払い","4717","0","4717","4717","0","*"
"","現地利用額　　　　　　　　２９．９９０変換レート　１５７．２８６円","","","","","","","",""
"2024/10/28","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","5826","0","5826","5826","0","*"
"2024/10/25","ﾜﾂﾂ ﾌｸﾐﾂﾗｸｿﾞｳｸﾞﾘ-","本人","1回払い","660","0","660","660","0","*"
"2024/10/25","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","3382","0","3382","3382","0","*"
"2024/10/25","ﾊﾞﾛ-(V.DRUG)","本人","1回払い","968","0","968","968","0","*"
"2024/10/21","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","2499","0","2499","2499","0","*"
"2024/10/19","ローソン","本人","1回払い","2476","0","2476","2476","0","*"
"2024/10/13","ローソン","本人","1回払い","2507","0","2507","2507","0","*"
"2024/10/13","ﾜﾂﾂ ﾌｸﾐﾂﾗｸｿﾞｳｸﾞﾘ-","本人","1回払い","864","0","864","864","0","*"
"2024/10/13","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","2425","0","2425","2425","0","*"
"2024/10/09","イデミツ（アポロステーション）","本人","1回払い","3828","0","3828","3828","0","*"
"2024/10/09","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","2257","0","2257","2257","0","*"
"2024/10/03","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","3179","0","3179","3179","0","*"
"2024/09/25","AMZN MKTP US*S(ﾍﾝｻｲﾍﾝｺｳ","本人","リボ変更","25584","","","","","*"
"","購入金額：\25584 / リボ変更金額：\25584","","","","","","","",""
"2024/09/19","ﾊﾞﾛ-(ｽ-ﾊﾟ-)   (ﾍﾝｻｲﾍﾝｺｳ","本人","リボ変更","5401","","","","","*"
"","購入金額：\5401 / リボ変更金額：\5401","","","","","","","",""
"2024/09/06","ﾊﾞﾛ-(ｽ-ﾊﾟ-)   (ﾍﾝｻｲﾍﾝｺｳ","本人","リボ変更","5950","","","","","*"
"","購入金額：\5950 / リボ変更金額：\5950","","","","","","","",""
