"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","10月支払金額","11月繰越残高","新規サイン"
"2025/09/30","ﾏｸﾄﾞﾅﾙﾄﾞ","本人","1回払い","1240","0","1240","1240","0","*"
"2025/09/29","STEAMGAMES.COM 42595利用国US","本人","1回払い","1500","0","1500","1500","0","*"
"","現地利用額　　　　　　１５００．０００変換レート　　　１．０００円","","","","","","","",""
"2025/09/27","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","5690","0","5690","5690","0","*"
"2025/09/25","AMAZON MKTPL*XV7T65Z利用国US","本人","1回払い","11741","0","11741","11741","0","*"
"","現地利用額　　　　　　　　７６．０８０変換レート　１５４．３２５円","","","","","","","",""
"2025/09/25","AMAZON MKTPL*XW8QZ7N利用国US","本人","1回払い","4801","0","4801","4801","0","*"
"","現地利用額　　　　　　　　３１．１１０変換レート　１５４．３２４円","","","","","","","",""
"2025/09/21","PAYPAL *PAIGEHAYNES利用国SG","本人","1回払い","3843","0","3843","3843","0","*"
"","現地利用額　　　　　　　　２５．０００変換レート　１５３．７２０円","","","","","","","",""
"2025/09/21","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","3094","0","3094","3094","0","*"
"2025/09/21","ﾊﾞﾛ-(V.DRUG)","本人","1回払い","2074","0","2074","2074","0","*"
"2025/09/16","ﾆﾂﾎﾟﾝﾕｳﾋﾞﾝ","本人","1回払い","3900","0","3900","3900","0","*"
"2025/09/14","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","7686","0","7686","7686","0","*"
"2025/09/14","ﾊﾞﾛ-(V.DRUG)","本人","1回払い","5797","0","5797","5797","0","*"
"2025/09/06","ﾃｷｻｽﾊﾝｽﾞ ﾅﾝﾄﾃﾝ","本人","1回払い","3600","0","3600","3600","0","*"
