"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","9月支払金額","10月繰越残高","新規サイン"
"2024/08/28","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","5315","0","5315","5315","0","*"
"2024/08/23","イデミツ（アポロステーション）","本人","1回払い","3480","0","3480","3480","0","*"
"2024/08/21","ローソン","本人","1回払い","3832","0","3832","3832","0","*"
"2024/08/21","ﾃｷｻｽﾊﾝｽﾞ ﾅﾝﾄﾃﾝ","本人","1回払い","2040","0","2040","2040","0","*"
"2024/08/19","ﾄﾔﾏｹﾝﾐﾝｶｲｶﾝ/NFC","本人","1回払い","990","0","990","990","0","*"
"2024/08/15","ローソン","本人","1回払い","2922","0","2922","2922","0","*"
"2024/08/13","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","3316","0","3316","3316","0","*"
"2024/08/10","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","4533","0","4533","4533","0","*"
"2024/08/05","ﾊﾞﾛ-(V.DRUG)","本人","1回払い","723","0","723","723","0","*"
"2024/08/04","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","4990","0","4990","4990","0","*"
"2024/08/01","ﾏｸﾄﾞﾅﾙﾄﾞ","本人","1回払い","1290","0","1290","1290","0","*"
"2024/07/31","イオンリテール","本人","1回払い","756","0","756","756","0","*"
