"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","12月支払金額","1月繰越残高","新規サイン"
"2024/11/30","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","9230","0","9230","9230","0","*"
"2024/11/28","ローソン","本人","1回払い","2538","0","2538","2538","0","*"
"2024/11/24","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","2596","0","2596","2596","0","*"
"2024/11/22","ローソン","本人","1回払い","3537","0","3537","3537","0","*"
"2024/11/17","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","3694","0","3694","3694","0","*"
"2024/11/17","ﾊﾞﾛ-(V.DRUG)","本人","1回払い","3605","0","3605","3605","0","*"
"2024/11/16","ﾏｸﾄﾞﾅﾙﾄﾞ","本人","1回払い","760","0","760","760","0","*"
"2024/11/10","ｾﾌﾞﾝｲﾚﾌﾞﾝ","本人","1回払い","2976","0","2976","2976","0","*"
"2024/11/09","ローソン","本人","1回払い","2992","0","2992","2992","0","*"
"2024/11/03","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","3054","0","3054","3054","0","*"
