"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","7月支払金額","8月繰越残高","新規サイン"
"2025/06/27","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","1回払い","2109","0","2109","2109","0","*"
"2025/06/22","ﾗｸﾃﾝﾍﾟｲ ﾍｱ ｽﾀｼﾞｵ","本人","1回払い","3000","0","3000","3000","0","*"
"2025/06/21","ネットキャッシング","本人","1回払い","20000","355","20355","20355","0","*"
"2025/06/17","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","1回払い","2029","0","2029","2029","0","*"
"2025/06/11","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","1340","0","1340","1340","0","*"
"2025/06/11","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","1回払い","3155","0","3155","3155","0","*"
"2025/06/08","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","150","0","150","150","0","*"
"2025/06/03","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","1回払い","2450","0","2450","2450","0","*"
"2025/06/01","MOBAL NARITA MOBAL N利用国JP","本人","1回払い","1519","0","1519","1519","0","*"
"","現地利用額　　　　　　１５１９．０００変換レート　　　１．０００円","","","","","","","",""
