"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","12月支払金額","1月繰越残高","新規サイン"
"2024/11/28","PAYPAL *STEAM GAMES利用国GB","本人","1回払い","3156","0","3156","3156","0","*"
"","現地利用額　　　　　　３１５６．０００変換レート　　　１．０００円","","","","","","","",""
"2024/11/19","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","18000","0","18000","18000","0","*"
"2024/11/17","ｲﾃﾞﾐﾂ ｱﾎﾟﾛｽﾃ-ｼﾖﾝ","本人","1回払い","3480","0","3480","3480","0","*"
"2024/11/16","ﾗｸﾃﾝﾍﾟｲ ﾏｸﾄﾞﾅﾙﾄﾞ","本人","1回払い","1600","0","1600","1600","0","*"
"2024/11/14","ﾃｷｻｽﾊﾝｽﾞ ﾅﾝﾄﾃﾝ","本人","1回払い","2210","0","2210","2210","0","*"
"2024/11/14","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","1回払い","2479","0","2479","2479","0","*"
"2024/11/11","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","1340","0","1340","1340","0","*"
"2024/11/08","ｱﾏｿﾞﾝ ｼ-ｵ-ｼﾞｴ-ﾋﾟ","本人","1回払い","3937","0","3937","3937","0","*"
"2024/11/08","ｱﾏｿﾞﾝ ｼ-ｵ-ｼﾞｴ-ﾋﾟ","本人","1回払い","4020","0","4020","4020","0","*"
"2024/11/08","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","130","0","130","130","0","*"
"2024/11/03","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","1回払い","2230","0","2230","2230","0","*"
"2024/11/03","ｱﾏｿﾞﾝ ｼ-ｵ-ｼﾞｴ-ﾋﾟ","本人","1回払い","3893","0","3893","3893","0","*"
"2024/11/01","MOBAL NARITA MOBAL N利用国JP","本人","1回払い","1480","0","1480","1480","0","*"
"","現地利用額　　　　　　１４８０．０００変換レート　　　１．０００円","","","","","","","",""
