"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","10月支払金額","11月繰越残高","新規サイン"
"2024/09/26","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","リボ払い","3299","","","","","*"
"2024/09/25","AMAZON MKTPL*DG1J59Q利用国US","本人","リボ払い","18769","","","","","*"
"","現地利用額　　　　　１８７６９．０００変換レート　　　１．０００円","","","","","","","",""
"2024/09/22","AMAZON MKTPL*RO3LW8F利用国US","本人","リボ払い","6932","","","","","*"
"","現地利用額　　　　　　６９３２．０００変換レート　　　１．０００円","","","","","","","",""
"2024/09/22","ﾗｸﾃﾝﾍﾟｲ ﾌﾞｲﾄﾞﾗﾂｸ","本人","リボ払い","1548","","","","","*"
"2024/09/21","ﾗｸﾃﾝﾍﾟｲ ﾍｱ ｽﾀｼﾞｵ","本人","リボ払い","4000","","","","","*"
"2024/09/18","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","リボ払い","2626","","","","","*"
"2024/09/14","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","リボ払い","2385","","","","","*"
"2024/09/11","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","リボ払い","1340","","","","","*"
"2024/09/10","ﾗｸﾃﾝﾍﾟｲ ﾏｸﾄﾞﾅﾙﾄﾞ","本人","リボ払い","1550","","","","","*"
"2024/09/09","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","リボ払い","3128","","","","","*"
"2024/09/08","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","リボ払い","130","","","","","*"
"2024/09/03","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","リボ払い","848","","","","","*"
"2024/09/02","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","リボ払い","2553","","","","","*"
"2024/09/01","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","リボ払い","1315","","","","","*"
"2024/09/01","MOBAL NARITA MOBAL N利用国JP","本人","リボ払い","1519","","","","","*"
"","現地利用額　　　　　　１５１９．０００変換レート　　　１．０００円","","","","","","","",""
"2024/08/29","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","リボ払い","2840","","","","","*"
