"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","9月支払金額","10月繰越残高","新規サイン"
"2024/08/30","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","リボ払い","1430","","","","","*"
"2024/08/29","ﾃｷｻｽﾊﾝｽﾞ ﾅﾝﾄﾃﾝ","本人","リボ払い","300","","","","","*"
"2024/08/25","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","リボ払い","2914","","","","","*"
"2024/08/22","ﾗｸﾃﾝﾍﾟｲ ｷﾚｲ","本人","リボ払い","1000","","","","","*"
"2024/08/22","ﾗｸﾃﾝﾍﾟｲ ﾏｸﾄﾞﾅﾙﾄﾞ","本人","リボ払い","1730","","","","","*"
"2024/08/19","ﾗｸﾃﾝﾍﾟｲ ﾏｸﾄﾞﾅﾙﾄﾞ","本人","リボ払い","1290","","","","","*"
"2024/08/19","ﾗｸﾃﾝﾍﾟｲ ｾﾌﾞﾝｲﾚﾌﾞ","本人","リボ払い","710","","","","","*"
"2024/08/18","ﾗｸﾃﾝﾍﾟｲ ﾌｱﾐﾘ-ﾏ-ﾄ","本人","リボ払い","3578","","","","","*"
"2024/08/11","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","リボ払い","1340","","","","","*"
"2024/08/08","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","リボ払い","130","","","","","*"
"2024/08/07","ﾗｸﾃﾝﾍﾟｲ ﾌﾞｲﾄﾞﾗﾂｸ","本人","リボ払い","1301","","","","","*"
"2024/08/07","ﾗｸﾃﾝﾍﾟｲ ﾌｱﾐﾘ-ﾏ-ﾄ","本人","リボ払い","1589","","","","","*"
"2024/08/01","MOBAL NARITA MOBAL N利用国JP","本人","リボ払い","1769","","","","","*"
"","現地利用額　　　　　　１７６９．０００変換レート　　　１．０００円","","","","","","","",""
