"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","9月支払金額","10月繰越残高","新規サイン"
"2025/08/26","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","1回払い","1040","0","1040","1040","0","*"
"2025/08/23","GUMROAD* NAIII利用国US","本人","1回払い","7631","0","7631","7631","0","*"
"","現地利用額　　　　　　　　４９．５００変換レート　１５４．１６２円","","","","","","","",""
"2025/08/22","SP TUNDRA LABS利用国US","本人","1回払い","30991","0","30991","30991","0","*"
"","現地利用額　　　　　３０９９１．０００変換レート　　　１．０００円","","","","","","","",""
"2025/08/22","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","1回払い","2140","0","2140","2140","0","*"
"2025/08/19","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","1回払い","858","0","858","858","0","*"
"2025/08/11","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","1340","0","1340","1340","0","*"
"2025/08/08","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","150","0","150","150","0","*"
"2025/08/01","MOBAL NARITA MOBAL N利用国JP","本人","1回払い","1480","0","1480","1480","0","*"
"","現地利用額　　　　　　１４８０．０００変換レート　　　１．０００円","","","","","","","",""
"2025/07/28","ﾗｸﾃﾝﾍﾟｲ ﾏｸﾄﾞﾅﾙﾄﾞ","本人","1回払い","1580","0","1580","1580","0","*"
