"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","8月支払金額","9月繰越残高","新規サイン"
"2024/07/24","ｱﾏｿﾞﾝ ｼ-ｵ-ｼﾞｴ-ﾋﾟ","本人","リボ払い","768","","","","","*"
"2024/07/24","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","リボ払い","6987","","","","","*"
"2024/07/24","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","リボ払い","19980","","","","","*"
"2024/07/24","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","リボ払い","4482","","","","","*"
"2024/07/24","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","リボ払い","1980","","","","","*"
"2024/07/23","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","リボ払い","7800","","","","","*"
"2024/07/22","ｲﾃﾞﾐﾂ ｱﾎﾟﾛｽﾃ-ｼﾖﾝ","本人","リボ払い","3828","","","","","*"
"2024/07/21","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","リボ払い","2319","","","","","*"
"2024/07/19","ｱﾏｿﾞﾝ ﾌﾟﾗｲﾑ ｶｲﾋ","本人","リボ払い","600","","","","","*"
"2024/07/18","ネットキャッシング","本人","1回払い","50000","983","50983","50983","0","*"
"2024/07/11","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","リボ払い","1340","","","","","*"
"2024/07/10","ｲﾃﾞﾐﾂ ｱﾎﾟﾛｽﾃ-ｼﾖﾝ","本人","リボ払い","3132","","","","","*"
"2024/07/08","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","リボ払い","130","","","","","*"
"2024/07/01","MOBAL NARITA MOBAL N利用国JP","本人","リボ払い","1480","","","","","*"
"","現地利用額　　　　　　１４８０．０００変換レート　　　１．０００円","","","","","","","",""
