"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","3月支払金額","4月繰越残高","新規サイン"
"2024/02/22","AMZN MKTP US*RI6U817利用国US","本人","リボ払い","2266","","","","","*"
"","現地利用額　　　　　　２２６６．０００変換レート　　　１．０００円","","","","","","","",""
"2024/02/21","PAYPAL *STEAM GAMES利用国GB","本人","リボ払い","5000","","","","","*"
"","現地利用額　　　　　　５０００．０００変換レート　　　１．０００円","","","","","","","",""
"2024/02/18","PAYPAL *STEAM GAMES利用国GB","本人","リボ払い","4480","","","","","*"
"","現地利用額　　　　　　４４８０．０００変換レート　　　１．０００円","","","","","","","",""
"2024/02/12","AMZN MKTP US*RI50K15利用国US","本人","リボ払い","7591","","","","","*"
"","現地利用額　　　　　　　　４９．７８０変換レート　１５２．４９１円","","","","","","","",""
"2024/02/08","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","リボ払い","130","","","","","*"
"2024/02/01","MOBAL NARITA MOBAL N利用国JP","本人","リボ払い","1480","","","","","*"
"","現地利用額　　　　　　１４８０．０００変換レート　　　１．０００円","","","","","","","",""
