"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","6月支払金額","7月繰越残高","新規サイン"
"2025/05/19","ﾗｸﾃﾝﾍﾟｲ ﾌﾞｲﾄﾞﾗﾂｸ","本人","1回払い","5069","0","5069","5069","0","*"
"2025/05/17","ﾕﾆｸﾛ ｼﾞ-ﾕ- ﾌﾟﾗｽﾃ","本人","1回払い","3490","0","3490","3490","0","*"
"2025/05/13","ｱﾏｿﾞﾝ ｼ-ｵ-ｼﾞｴ-ﾋﾟ","本人","1回払い","4805","0","4805","4805","0","*"
"2025/05/11","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","1340","0","1340","1340","0","*"
"2025/05/11","ﾗｸﾃﾝﾍﾟｲ ﾌﾞｲﾄﾞﾗﾂｸ","本人","1回払い","877","0","877","877","0","*"
"2025/05/08","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","1回払い","150","0","150","150","0","*"
"2025/05/06","ﾗｸﾃﾝﾍﾟｲ ﾛ-ｿﾝ","本人","1回払い","2627","0","2627","2627","0","*"
"2025/05/03","ﾗｸﾃﾝﾍﾟｲ ﾍｱ ｽﾀｼﾞｵ","本人","1回払い","4000","0","4000","4000","0","*"
"2025/05/01","MOBAL NARITA MOBAL N利用国JP","本人","1回払い","1636","0","1636","1636","0","*"
"","現地利用額　　　　　　１６３６．０００変換レート　　　１．０００円","","","","","","","",""
"2025/04/28","ﾗｸﾃﾝﾍﾟｲ ｱﾙﾋﾞｽ","本人","1回払い","8592","0","8592","8592","0","*"
"2025/04/26","ﾗｸﾃﾝﾍﾟｲ ｾﾌﾞﾝｲﾚﾌﾞ","本人","1回払い","1658","0","1658","1658","0","*"
